page,type,content,context
10,note_sequence,"E, F, G","“Lai Teay Khong.”                                         98   Figure 4.12: The E, F, G and H sections of “Lai Teay Khong.”                               99  Fi"
98,note_sequence,"G, A, C, D, E","st organ (six pipes in  total, e.g., the khaen hok in G is capable of producing G, A, C, D, E, and G­ , 2) khaen jed  (fourteen pipes in total—e.g., a khaen jed"
98,note_sequence,"A, B, C, D, E, F, G, A",", 2) khaen jed  (fourteen pipes in total—e.g., a khaen jed in Am—consisting of A, B, C, D, E, F, G, A­,  B ­,  C­, D,­ E,­, and F ­, i.e., less than two octave"
98,note_sequence,"A, B, C, D, E, G, A","organ (with  eighteen pipes in total, a khaen kao in Am is capable of producing A, B, C, D, E, G, A­,  B ­,"
107,note_sequence,"A, C, D, E, G","r pentatonic scales) (Figure 4.6).   lai thang yao    1. lai yai, consisting of A, C, D, E, G (A minor pent.)        2. lai noi, or lai long noi, consisting of"
107,note_sequence,"D, F, G, A, C","A, C, D, E, G (A minor pent.)        2. lai noi, or lai long noi, consisting of D, F, G, A, C (D minor pent.)    3. lai se, consisting of E, G, A, B, D (E minor"
107,note_sequence,"E, G, A, B, D","ng noi, consisting of D, F, G, A, C (D minor pent.)    3. lai se, consisting of E, G, A, B, D (E minor pent.)      lai thang san  4. lai sutsanaen, consisting o"
107,note_sequence,"C, D, E, G, A","G, A, B, D (E minor pent.)      lai thang san  4. lai sutsanaen, consisting of C, D, E, G, A (C major pent.)     5. lai pong sai, consisting of F, G, A, C, D ("
107,note_sequence,"F, G, A, C, D","consisting of C, D, E, G, A (C major pent.)     5. lai pong sai, consisting of F, G, A, C, D (F major pent.)           6. lai soi, consisting of G, A, B, D, E"
107,note_sequence,"G, A, B, D, E","consisting of F, G, A, C, D (F major pent.)           6. lai soi, consisting of G, A, B, D, E (G major pent.)       Figure 4.6: Lai thang yao and lai thang san."
115,note_sequence,"E, F, G","Teay Klong” performed by  Sombat Simlah.)217                  Figure 4.12: The E, F, G and H sections of “Lai Teay Khong.” Transcription by the  author."
123,note_sequence,"C, F, G","ny the vocal is divided into three types—namely, the  use of lai thang san, the C, F, G major pentatonic scales for a short performance (lum thang san)  which c"
123,note_sequence,"A, D, E","t performance (lum thang san)  which contains faster tempos, and lai thang yai (A, D, E) for a longer performance with a slow  tempo, in which the vocalist sing"
127,note_sequence,"B, C, D, E, F, 
G, A, B","pitches per octaves over a range of approximately 2 octaves. These pitches are B, C, D, E, F,  G, A, B ­, C­, D,­ E,­, F ­, G­, A­,  B­­ C­­, D­­ in the standa"
128,note_sequence,"G, D, A, B","8, the melodic repetitive patterns undulate, primarily including the pitches of G, D, A, B— with the B note observable as the highest note in these patterns whi"
132,note_sequence,"D, G, D, G","for the lower pitch. The mong player (nai mong) provides alternating sounds of D, G, D, G to  indicate continuous time for nora ensembles. Alternatively, the i"
132,note_sequence,"D, D, D, 
G","D or G, or it can be rearranged to a different pattern of the two notes (e.g., D, D, D,  G) based on the type of composition accompanying the nora dancers whil"
194,note_sequence,"G♭, F, E♭","owing up in a Thai southern-Chinese household. These  pentatonic scales include G♭, F, E♭, and A♭ pentatonic. I use them in this piece to create more"
