page,has_tuning_info,has_lai_pattern,has_pentatonic,has_drone_info,has_technique,has_performer,has_province,word_count
7,False,True,False,False,True,False,False,192
11,False,True,False,False,False,False,False,321
15,False,False,False,False,False,False,False,163
26,False,True,False,False,True,False,False,408
27,False,False,False,False,True,False,False,396
100,True,True,False,True,False,True,True,434
101,False,True,False,False,True,True,True,254
102,False,True,True,True,True,False,True,314
104,False,True,True,True,True,False,True,338
110,False,True,True,True,True,False,False,457
127,False,False,False,False,True,False,False,486
161,True,False,False,False,False,False,False,452
162,False,False,False,False,True,False,False,265
209,False,True,False,True,True,False,False,328
211,False,False,False,False,False,False,False,138
217,False,False,False,True,False,True,False,115
279,False,False,False,False,True,False,False,340
280,False,False,False,False,True,False,False,407
281,True,False,False,False,True,False,False,451
282,False,False,False,False,True,False,False,422
292,False,False,False,False,False,False,False,281
